id,user_id,account_id,kind,direction,amount,category_id,comment,transfer_id,created_at
d3582b11-3948-40a5-8e83-55dc0ae3a2e7,ce818a40-0185-41bb-8c07-04bc962ce4d9,105bf063-ca0a-4e25-a7ef-1b37eaba41c1,income,in,1800,a1026e37-5687-426b-b67d-67bd0c2354cf,Elterngeld,null,2026-01-19 01:41:32.343832+00
1394ec25-002e-46dd-8124-8bfd61878c35,ce818a40-0185-41bb-8c07-04bc962ce4d9,105bf063-ca0a-4e25-a7ef-1b37eaba41c1,expense,out,44.98,fa649cfe-49ab-4fd7-8636-08881b39ecee,1&1,null,2026-01-19 01:42:21.898784+00
e9a84ea6-08d2-4daf-993f-e11c2ff79273,ce818a40-0185-41bb-8c07-04bc962ce4d9,68d95a1c-5a2f-4e1c-95f6-599bc4f164f9,income,in,500,2fdbd627-10fe-458e-a0a3-12bb0bc6987c,Подарок от бабушки,null,2026-01-19 02:09:22.46707+00
509db876-b4e7-43fe-9267-91903224ff1f,ce818a40-0185-41bb-8c07-04bc962ce4d9,0b6e78a5-83c8-45ea-a679-94f1c1bc3ed5,expense,out,17.93,dc833c94-b2d1-457b-a7fd-fbad6e253f24,"Cursor. Оплата с двух карт, надо разобраться",null,2026-01-21 03:20:47.142153+00
d368ecc0-27ce-40b0-9570-d7e1fd473e5d,ce818a40-0185-41bb-8c07-04bc962ce4d9,ec13cdce-69da-4d87-99ec-e324bac4a96c,expense,out,17.25,dc833c94-b2d1-457b-a7fd-fbad6e253f24,"Cursor: не подтвержденный платеж, должен быть удален вскорости",null,2026-01-19 01:45:23.694695+00
5d577709-30f4-497b-b9dd-3f5216b47a56,ce818a40-0185-41bb-8c07-04bc962ce4d9,105bf063-ca0a-4e25-a7ef-1b37eaba41c1,transfer,out,259,null,Детские деньги,54b854e8-bf8d-4c1d-ab9a-3d452b672e41,2026-01-21 15:44:28.46186+00
0cf9fc68-2b87-4c86-a131-6af4a9fe99a4,ce818a40-0185-41bb-8c07-04bc962ce4d9,493d6ca3-75ac-4119-bff8-2a9f85d8efdf,transfer,in,259,null,Детские деньги,54b854e8-bf8d-4c1d-ab9a-3d452b672e41,2026-01-21 15:44:28.867327+00
51c4a8ca-ba4d-4895-bdbd-3a0a21d23b50,ce818a40-0185-41bb-8c07-04bc962ce4d9,105bf063-ca0a-4e25-a7ef-1b37eaba41c1,transfer,out,259,null,Детские деньги,00767594-2d77-4c7b-b6e4-0611fb877dc2,2026-01-21 15:44:51.753846+00
592cc76e-9ac2-406d-b55d-25b75eb4ebc6,ce818a40-0185-41bb-8c07-04bc962ce4d9,c0a2ac44-8268-4310-8871-516713fed9b5,transfer,in,259,null,Детские деньги,00767594-2d77-4c7b-b6e4-0611fb877dc2,2026-01-21 15:44:52.060693+00
9e92d1d8-61eb-4bbd-a3cc-5a7f6a9fa82f,ce818a40-0185-41bb-8c07-04bc962ce4d9,105bf063-ca0a-4e25-a7ef-1b37eaba41c1,expense,out,52.22,8c5b6e38-1dd8-4b1b-b05b-dcfaa17af7ea,BH-RS9000,null,2026-01-22 04:37:22.575053+00
ac658d65-0496-4c75-9a58-f47823b51ee9,ce818a40-0185-41bb-8c07-04bc962ce4d9,5a4635a4-9384-4a21-b325-cb8fd995f88e,transfer,out,82.22,null,null,16642a80-340a-4d86-b5af-e7bee57d2165,2026-01-22 04:39:23.354693+00
32e53d61-ea03-4703-af9a-b3fbd31c5e42,ce818a40-0185-41bb-8c07-04bc962ce4d9,ec13cdce-69da-4d87-99ec-e324bac4a96c,transfer,in,82.22,null,null,16642a80-340a-4d86-b5af-e7bee57d2165,2026-01-22 04:39:23.625343+00
473f8bb0-e600-42c3-958d-1ea271890891,ce818a40-0185-41bb-8c07-04bc962ce4d9,5a4635a4-9384-4a21-b325-cb8fd995f88e,expense,out,15,fa649cfe-49ab-4fd7-8636-08881b39ecee,Congstar,null,2026-01-22 04:40:09.69546+00
0e42c703-3689-4f87-8e83-9ed93c9ff191,ce818a40-0185-41bb-8c07-04bc962ce4d9,0b6e78a5-83c8-45ea-a679-94f1c1bc3ed5,expense,out,8.99,7de04ace-bc75-436d-82b9-fdfac6971c14,Amazon Prime,null,2026-01-22 04:43:13.30118+00
c0dd92f0-ef1c-48a1-b24d-1397ebcaf943,ce818a40-0185-41bb-8c07-04bc962ce4d9,7c5a6854-6688-4f5e-a51c-791ffa14595d,expense,out,200,5ec50e2e-58b5-4ae0-abc4-8554ae10674e,"Поменяли на рупии по курсу 105,3",null,2026-01-22 08:24:34.979211+00
84210dca-9515-49fa-ae12-019e048050cc,ce818a40-0185-41bb-8c07-04bc962ce4d9,105bf063-ca0a-4e25-a7ef-1b37eaba41c1,expense,out,32,9a2d44ce-a373-440b-a64e-66e7962d0de5,Simone Steinel балет,null,2026-01-23 05:51:17.077873+00
63e72d52-05da-4950-8eda-888470a6b245,ce818a40-0185-41bb-8c07-04bc962ce4d9,7c5a6854-6688-4f5e-a51c-791ffa14595d,expense,out,200,5ec50e2e-58b5-4ae0-abc4-8554ae10674e,Получили 21140 рупий,null,2026-01-24 07:51:29.170648+00
79f75247-3c99-423e-a24e-240c52b669d3,ce818a40-0185-41bb-8c07-04bc962ce4d9,0b6e78a5-83c8-45ea-a679-94f1c1bc3ed5,expense,out,11.74,b9cfbf8c-a10c-4240-9875-a5c3cc9dc19c,Über в Тривандрум,null,2026-01-24 09:19:06.544029+00
